FPR,TPR,threshold
0.00000000,0.00000000,inf
0.00000000,0.02000000,18.19753933
0.00000000,0.04000000,15.60791535
0.00000000,0.06000000,13.47787202
0.00000000,0.08000000,12.39387854
0.00000000,0.10000000,12.16545974
0.00000000,0.12000000,11.86857177
0.00000000,0.14000000,11.42262355
0.00000000,0.16000000,11.40777800
0.00000000,0.18000000,10.97566218
0.00000000,0.20000000,10.51337268
0.00000000,0.22000000,10.42969929
0.00000000,0.24000000,10.30878325
0.00000000,0.26000000,10.18401607
0.00000000,0.28000000,9.68077413
0.00000000,0.30000000,9.26355149
0.00000000,0.32000000,9.11778072
0.00000000,0.34000000,9.02270465
0.00000000,0.36000000,8.81237109
0.00000000,0.38000000,8.73690943
0.00000000,0.40000000,8.58324493
0.00000000,0.42000000,8.20039811
0.00000000,0.44000000,8.02890380
0.00000000,0.46000000,7.61515629
0.00000000,0.48000000,7.16759231
0.00000000,0.50000000,7.05288295
0.00000000,0.54000000,7.02973346
0.00000000,0.56000000,6.95821786
0.00000000,0.58000000,6.36230561
0.00000000,0.60000000,6.17096256
0.00000000,0.62000000,5.75028039
0.00000000,0.64000000,5.44308424
0.00000000,0.66000000,5.27433047
0.00000000,0.68000000,4.00789898
0.00000000,0.70000000,3.96724827
0.00000000,0.72000000,3.81544659
0.00000000,0.74000000,3.75699432
0.00000000,0.76000000,3.70309436
0.00000000,0.78000000,3.62540673
0.02000000,0.78000000,2.95003413
0.02000000,0.80000000,2.88555079
0.02000000,0.82000000,2.85582308
0.02000000,0.84000000,2.83227054
0.02000000,0.86000000,2.00078400
0.02000000,0.88000000,1.45845384
0.02000000,0.90000000,1.43770207
0.02000000,0.92000000,1.43304673
0.02000000,0.94000000,1.43152769
0.02000000,0.96000000,0.83731590
0.04000000,0.96000000,0.50312669
0.04000000,0.98000000,0.46449191
0.04000000,1.00000000,-0.22816163
0.06000000,1.00000000,-0.34976496
0.08000000,1.00000000,-0.45178002
0.10000000,1.00000000,-0.67519680
0.12000000,1.00000000,-3.08449733
0.14000000,1.00000000,-3.25781841
0.16000000,1.00000000,-3.97384049
0.18000000,1.00000000,-4.07903438
0.20000000,1.00000000,-4.50194263
0.22000000,1.00000000,-4.64281186
0.24000000,1.00000000,-5.20233014
0.26000000,1.00000000,-5.51567149
0.28000000,1.00000000,-5.55554899
0.30000000,1.00000000,-5.56787033
0.32000000,1.00000000,-5.81487623
0.34000000,1.00000000,-5.89756137
0.36000000,1.00000000,-6.00072260
0.38000000,1.00000000,-6.00905353
0.40000000,1.00000000,-6.43012641
0.42000000,1.00000000,-6.65075197
0.44000000,1.00000000,-6.93740303
0.46000000,1.00000000,-7.04095489
0.48000000,1.00000000,-7.71951962
0.50000000,1.00000000,-7.72501446
0.52000000,1.00000000,-7.76968579
0.54000000,1.00000000,-7.85878507
0.56000000,1.00000000,-8.03766252
0.58000000,1.00000000,-8.46295817
0.60000000,1.00000000,-8.64943965
0.62000000,1.00000000,-8.69466081
0.64000000,1.00000000,-8.92531147
0.66000000,1.00000000,-8.95543205
0.68000000,1.00000000,-9.15115818
0.70000000,1.00000000,-9.24237971
0.72000000,1.00000000,-9.81817385
0.74000000,1.00000000,-9.84998611
0.76000000,1.00000000,-10.01134949
0.78000000,1.00000000,-10.16055508
0.80000000,1.00000000,-10.69735302
0.82000000,1.00000000,-11.03698083
0.84000000,1.00000000,-11.35709701
0.86000000,1.00000000,-11.40760981
0.88000000,1.00000000,-11.70560542
0.90000000,1.00000000,-11.75890681
0.92000000,1.00000000,-12.08183745
0.94000000,1.00000000,-12.49765395
0.96000000,1.00000000,-13.24030909
0.98000000,1.00000000,-14.15206531
1.00000000,1.00000000,-16.00109142
1.00000000,1.00000000,-inf
